index,dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,nrOfPictures,postalCode,lastSeen
348986,2016-03-25 19:57:53,Opel_Calibra,privat,Angebot,10000,test,coupe,1992,manuell,0,calibra,150000,10,benzin,opel,nein,2016-03-25 00:00:00,0,94269,2016-04-05 00:17:25
183474,2016-04-04 15:56:41,Mercedes_Benz_C180_Kombi,privat,Angebot,850,test,kombi,1998,manuell,122,c_klasse,150000,11,benzin,mercedes_benz,,2016-04-04 00:00:00,0,68526,2016-04-04 15:56:41
367615,2016-03-24 20:58:52,Auto_an_Bastler,privat,Angebot,150,test,,2000,manuell,0,almera,150000,0,,nissan,,2016-03-24 00:00:00,0,17213,2016-04-03 14:47:37
32810,2016-03-24 12:57:58,Audi_A3_1.6_Ambiente,privat,Angebot,3398,test,limousine,2003,manuell,102,a3,150000,3,benzin,audi,nein,2016-03-24 00:00:00,0,36043,2016-04-07 04:45:42
342339,2016-03-29 08:55:03,Verkaufe_Mercedes_Benz_C_180.,privat,Angebot,1400,control,limousine,1996,manuell,0,c_klasse,150000,6,benzin,mercedes_benz,,2016-03-29 00:00:00,0,38162,2016-04-05 18:18:29
102774,2016-03-15 15:36:44,Biete_meinen_Polo_6N_an_Bastler,privat,Angebot,400,control,kleinwagen,1996,manuell,45,polo,150000,1,benzin,volkswagen,nein,2016-03-15 00:00:00,0,56112,2016-03-15 18:26:28
96723,2016-03-16 19:47:10,Opel_Corsa_Swing,privat,Angebot,0,test,kleinwagen,1996,automatik,60,corsa,150000,7,benzin,opel,ja,2016-03-16 00:00:00,0,72131,2016-04-01 08:16:37
206349,2016-03-12 18:53:47,Volkswagen_Polo_1.4_CrossPolo,privat,Angebot,6900,test,kleinwagen,2006,manuell,80,polo,70000,7,benzin,volkswagen,nein,2016-03-12 00:00:00,0,22941,2016-03-16 00:47:02
337351,2016-03-08 14:48:42,Volvo_940_GL,privat,Angebot,1600,test,kombi,1992,automatik,131,andere,150000,3,benzin,volvo,nein,2016-03-08 00:00:00,0,28844,2016-03-08 14:48:42
6932,2016-03-10 20:37:01,Mercedes_Benz_C_200_T_Classic,privat,Angebot,1100,test,kombi,1996,manuell,136,c_klasse,150000,5,benzin,mercedes_benz,nein,2016-03-10 00:00:00,0,85748,2016-04-06 19:18:11
30512,2016-03-11 21:40:50,Alfa_Romeo_Spider_2000_Veloce_Fastback,privat,Angebot,12900,test,cabrio,1979,manuell,126,spider,20000,4,benzin,alfa_romeo,nein,2016-03-11 00:00:00,0,47475,2016-04-06 05:46:30
67641,2016-03-13 14:51:20,Audi_A4_1.8T_Avant_quattro_208ps_vollausstattung,privat,Angebot,3500,test,kombi,1998,manuell,208,a4,150000,0,benzin,audi,nein,2016-03-13 00:00:00,0,46238,2016-03-15 17:46:54
224130,2016-03-14 16:43:47,Mercedes_Benz_C_180_Elegance,privat,Angebot,2700,test,limousine,2001,manuell,122,c_klasse,150000,1,benzin,mercedes_benz,nein,2016-03-14 00:00:00,0,45884,2016-03-23 16:48:49
355676,2016-04-04 19:57:31,Opel_Astra_Cabrio_2.2_16V,privat,Angebot,4200,test,cabrio,2003,manuell,147,astra,125000,4,benzin,opel,nein,2016-04-04 00:00:00,0,47551,2016-04-06 22:17:14
